amfi_code,period,years,start_date,end_date,start_nav,end_nav,cagr,cagr_pct
119598,3Y,3,2023-05-29,2026-05-29,152.1339,309.205,0.2666992200118774,26.66992200118774
119599,1Y,1,2025-05-29,2026-05-29,92.573,105.4849,0.1394780335518997,13.947803355189968
119599,3Y,3,2023-05-29,2026-05-29,109.8329,105.4849,-0.01337386614488112,-1.337386614488112
120503,1Y,1,2025-05-29,2026-05-29,108.9046,118.1496,0.08489081269294418,8.489081269294418
120503,3Y,3,2023-05-29,2026-05-29,79.793,118.1496,0.13978381933703043,13.978381933703044
120504,1Y,1,2025-05-29,2026-05-29,133.6683,151.1311,0.13064279264417977,13.064279264417976
120504,3Y,3,2023-05-29,2026-05-29,64.9875,151.1311,0.3248742855621496,32.48742855621496
120505,1Y,1,2025-05-29,2026-05-29,365.5455,473.764,0.29604659337893646,29.604659337893647
120505,3Y,3,2023-05-29,2026-05-29,207.0322,473.764,0.317775371512347,31.777537151234704
120506,1Y,1,2025-05-29,2026-05-29,285.1667,404.4207,0.4181904829701364,41.81904829701364
120506,3Y,3,2023-05-29,2026-05-29,243.5209,404.4207,0.1842199653744454,18.421996537444542
120507,1Y,1,2025-05-29,2026-05-29,361.7349,388.5939,0.0742505077613469,7.42505077613469
120507,3Y,3,2023-05-29,2026-05-29,313.7274,388.5939,0.07394286300360076,7.394286300360076
120841,1Y,1,2025-05-29,2026-05-29,412.6489,482.127,0.16837098075385626,16.837098075385626
120841,3Y,3,2023-05-29,2026-05-29,298.9723,482.127,0.1726727508371786,17.26727508371786
120842,1Y,1,2025-05-29,2026-05-29,67.4648,82.6457,0.2250195657587366,22.50195657587366
120842,3Y,3,2023-05-29,2026-05-29,66.0535,82.6457,0.07756003551327284,7.756003551327284
120843,1Y,1,2025-05-29,2026-05-29,128.8832,163.2397,0.26657081760850154,26.657081760850154
120843,3Y,3,2023-05-29,2026-05-29,75.0212,163.2397,0.2958277033726251,29.58277033726251
120844,1Y,1,2025-05-29,2026-05-29,3984.8178,4268.5497,0.07120323042122512,7.120323042122512
120844,3Y,3,2023-05-29,2026-05-29,3514.2793,4268.5497,0.06695971624586994,6.695971624586994
125497,1Y,1,2025-05-29,2026-05-29,936.4319,1204.9571,0.2867535802656873,28.67535802656873
125497,3Y,3,2023-05-29,2026-05-29,725.3323,1204.9571,0.18434488610520172,18.434488610520173
125498,1Y,1,2025-05-29,2026-05-29,163.1634,188.3619,0.15443720834451846,15.443720834451845
125498,3Y,3,2023-05-29,2026-05-29,136.8198,188.3619,0.11245222866621418,11.245222866621418
148567,1Y,1,2025-05-29,2026-05-29,191.3173,230.2708,0.20360678307711866,20.360678307711865
148567,3Y,3,2023-05-29,2026-05-29,95.7008,230.2708,0.3400091602163293,34.00091602163293
148568,1Y,1,2025-05-29,2026-05-29,179.7953,205.451,0.14269394138778924,14.269394138778924
148568,3Y,3,2023-05-29,2026-05-29,135.9792,205.451,0.14748035533586012,14.748035533586012
148569,1Y,1,2025-05-29,2026-05-29,69.9408,97.7435,0.3975176148971702,39.75176148971702
148569,3Y,3,2023-05-29,2026-05-29,45.3433,97.7435,0.2917890157839378,29.178901578393777
149322,1Y,1,2025-05-29,2026-05-29,513.2749,606.2349,0.1811115252275146,18.11115252275146
149322,3Y,3,2023-05-29,2026-05-29,368.5589,606.2349,0.18044206486636138,18.04420648663614
149323,1Y,1,2025-05-29,2026-05-29,201.9778,245.3651,0.21481222193726257,21.481222193726257
149323,3Y,3,2023-05-29,2026-05-29,120.1534,245.3651,0.268699908289022,26.869990828902203
149324,1Y,1,2025-05-29,2026-05-29,169.4037,279.7511,0.6513871892998797,65.13871892998797
149324,3Y,3,2023-05-29,2026-05-29,136.5703,279.7511,0.27000426614519246,27.000426614519245
